,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-aim,Python
49,ml-all-pairs,Python
50,ml-ane-transformers,Python
51,ml-aspanformer,Python
52,ml-autofocusformer,Python
53,ml-autofocusformer-segmentation,Python
54,ml-batchquant,Python
55,ml-behavioral-testing-for-mt,
56,ml-calibration,Jupyter Notebook
57,ml-capsules-inverted-attention-routing,Python
58,ml-cifar-10-faster,Python
59,ml-code-switched-speech-translation,Python
60,ml-codeswitching-translations,
61,ml-collegial-ensembles,Python
62,ml-core,Python
63,ml-covid-mobility,R
64,ml-cread,Python
65,ml-cvnets,Python
66,ml-cvpr2019-swd,Python
67,ml-dab,Python
68,ml-data-parameters,Python
69,ml-delphi,
70,ml-destseg,Python
71,ml-dms-dataset,Python
72,ml-dprecs,Jupyter Notebook
73,ml-dr,Python
74,ml-duet,Python
75,ml-entity-deduction-arena,Python
76,ml-entropy-reconstruction,Python
77,ml-envmapnet,Python
78,ml-equivariant-neural-rendering,Jupyter Notebook
79,ml-facelit,Python
80,ml-fastvit,Python
81,ml-fct,Python
82,ml-ferret,Python
83,ml-finerecon,Python
84,ml-flair,Jupyter Notebook
85,ml-gaudi,
86,ml-gmpi,Python
87,ml-gsn,Python
88,ml-hd-gist,Python
89,ml-heart-rate-models,Python
90,ml-hierarchical-confusion-matrix,TypeScript
91,ml-hypersim,Python
92,ml-interspeech2022-phi_rtn,
93,ml-kge,Python
94,ml-knowledge-conflicts,Python
95,ml-live-pose,
96,ml-llarp,Python
97,ml-lucid-datagen,Python
98,ml-mgie,Python
99,ml-mkqa,Python
100,ml-mobileclip,Python
101,ml-mobileone,Swift
102,ml-mofi,Python
103,ml-multiple-futures-prediction,Python
104,ml-ncg,Python
105,ml-neilf,Python
106,ml-neilfpp,Python
107,ml-neuman,Python
108,ml-no-token-left-behind,Jupyter Notebook
109,ml-np-rasp,Python
110,ml-nvas3d,Python
111,ml-pgdvs,Python
112,ml-planner,Python
113,ml-pointconvformer,Python
114,ml-pointersect,Python
115,ml-probabilistic-attention,Python
116,ml-projunit,Python
117,ml-qrecc,Python
118,ml-quant,Python
119,ml-reed,Python
120,ml-rlgrad,Python
121,ml-robust-expert-augmentations,Python
122,ml-rpm-bench,Python
123,ml-sad,Python
124,ml-selfcond,Python
125,ml-shuffling-amplification,Python
126,ml-sigma-reparam,Python
127,ml-spatial-librispeech,
128,ml-spin,Python
129,ml-stable-diffusion,Python
130,ml-stabledreamer,
131,ml-stuttering-events-dataset,Python
132,ml-symphony,Svelte
133,ml-tic-clip,Python
134,ml-tract,Python
135,ml-transcript-translation-consistency-ratings,
136,ml-translate-vis,TypeScript
137,ml-tree-dst,Python
138,ml-tune-mode-convbn,Python
139,ml-upscale,Jupyter Notebook
140,ml-uwac,Python
141,ml-veclip,Jupyter Notebook
142,ml-vfi-smiff,Python
143,ml-vision-transformers-ane,Python
144,openjdk,Java
145,password-manager-resources,JavaScript
146,pfl-research,Python
147,pkl,Java
148,pkl-go,Go
149,pkl-go-examples,Go
150,pkl-intellij,Kotlin
151,pkl-jvm-examples,Groovy
152,pkl-k8s,Kotlin
153,pkl-k8s-examples,
154,pkl-lang.org,JavaScript
155,pkl-neovim,Scheme
156,pkl-package-docs,Kotlin
157,pkl-pantry,Kotlin
158,pkl-project-commons,
159,pkl-spring,Java
160,pkl-swift,Swift
161,pkl-swift-examples,Swift
162,pkl-vscode,TypeScript
163,pkl.tmbundle,
164,pytorch-speech-features,Python
165,sample-backyard-birds,Swift
166,sample-cloudkit-coredatasync,Swift
167,sample-cloudkit-encryption,Swift
168,sample-cloudkit-privatedb,Swift
169,sample-cloudkit-privatedb-sync,Swift
170,sample-cloudkit-queries,Swift
171,sample-cloudkit-sharing,Swift
172,sample-cloudkit-sync-engine,Swift
173,sample-cloudkit-tooling,JavaScript
174,sample-cloudkit-zonesharing,Swift
175,sample-food-truck,Swift
176,servicetalk,Java
177,sourcekit-lsp,Swift
178,swift,C++
179,swift-3-api-guidelines-review,Swift
180,swift-algorithms,Swift
181,swift-aoc-starter-example,Swift
182,swift-argument-parser,Swift
183,swift-asn1,Swift
184,swift-async-algorithms,Swift
185,swift-async-dns-resolver,Swift
186,swift-atomics,Swift
187,swift-book,Markdown
188,swift-cassandra-client,Swift
189,swift-certificates,Swift
190,swift-clang,C++
191,swift-clang-tools-extra,C++
192,swift-cluster-membership,Swift
193,swift-cmake-examples,CMake
194,swift-cmark,C
195,swift-collections,Swift
196,swift-collections-benchmark,Swift
197,swift-community-hosted-continuous-integration,
198,swift-compiler-rt,C
199,swift-corelibs-foundation,Swift
200,swift-corelibs-libdispatch,C
201,swift-corelibs-xctest,Swift
202,swift-crypto,C
203,swift-distributed-actors,Swift
204,swift-distributed-tracing,Swift
205,swift-distributed-tracing-baggage-core,Swift
206,swift-distributed-tracing-extras,Swift
207,swift-docc,Swift
208,swift-docc-plugin,Swift
209,swift-docc-render,JavaScript
210,swift-docc-render-artifact,
211,swift-docc-symbolkit,Swift
212,swift-docker,Dockerfile
213,swift-driver,Swift
214,swift-embedded-examples,Swift
215,swift-evolution,Markdown
216,swift-evolution-staging,Swift
217,swift-experimental-string-processing,Swift
218,swift-for-wasm-examples,Swift
219,swift-format,Swift
220,swift-foundation,Swift
221,swift-foundation-icu,C
222,swift-getting-started-cli,Swift
223,swift-getting-started-package-library,Swift
224,swift-http-structured-headers,Swift
225,swift-http-types,Swift
226,swift-installer-scripts,CMake
227,swift-integration-tests,Python
228,swift-internals,HTML
229,swift-issues,
230,swift-libcxx,C++
231,swift-llbuild,C++
232,swift-llbuild2,Swift
233,swift-lldb,C++
234,swift-llvm,LLVM
235,swift-llvm-bindings,Swift
236,swift-lmdb,C
237,swift-log,Swift
238,swift-markdown,Swift
239,swift-metrics,Swift
240,swift-metrics-extras,Swift
241,swift-mmio,Swift
242,swift-nio,Swift
243,swift-nio-examples,Swift
244,swift-nio-extras,Swift
245,swift-nio-http2,Swift
246,swift-nio-imap,Swift
247,swift-nio-nghttp2-support,Swift
248,swift-nio-ssh,Swift
249,swift-nio-ssl,C
250,swift-nio-ssl-support,Swift
251,swift-nio-transport-services,Swift
252,swift-nio-zlib-support,Swift
253,swift-numerics,Swift
254,swift-openapi-generator,Swift
255,swift-openapi-runtime,Swift
256,swift-openapi-urlsession,Swift
257,swift-org-website,SCSS
258,swift-package-collection-generator,Swift
259,swift-package-manager,Swift
260,swift-package-registry-compatibility-test-suite,Swift
261,swift-playdate-examples,Swift
262,swift-protobuf,Swift
263,swift-protobuf-plugin,
264,swift-protobuf-test-conformance,
265,swift-sample-distributed-actors-transport,Swift
266,swift-sdk-generator,Swift
267,swift-se0270-range-set,Swift
268,swift-se0288-is-power,Swift
269,swift-service-context,Swift
